ip_address,hostname,kernel,os_family,date,time
192.168.182.136,Client01,3.10.0-957.el7.x86_64,RedHat,2020-01-17,11:19:18
192.168.182.138,Client02,3.10.0-957.el7.x86_64,RedHat,2020-01-17,11:19:19
