ip_address,hostname,kernel,os_family,date,time
192.168.182.136,Client01,3.10.0-1062.9.1.el7.x86_64,RedHat,2020-01-17,12:23:29
192.168.182.138,Client02,3.10.0-1062.9.1.el7.x86_64,RedHat,2020-01-17,12:23:19
